,review,sentiment
40116,"Your mind will not be satisfied by this nobudget doomsday thriller; but, pray, who's will? A youngish couple spends the actual end of the world in the hidden laboratory of some aliens masquerading as Church people.<br /><br />Small _apocalyptically themed outing, END OF THE WORLD has the ingenuity and the lack of both brio and style of the purely '50s similar movies. And it's not only that, but EOTW plays like a hybridnot only doomsday but convent creeps as well. The villain of the movie is a wellknown character actor.<br /><br />This wholly shameless slapdash seems a piece of conventexploitation, that significantly '70s genre which looks today so amusingly outdated. Anyway, the convent's secret laboratory is some nasty piece of futuristic deco! Christopher Lee is the pride of End of the World; but the End of the World is not at all his pride!",negative
40139,"""Black Vengeance"" is an alternate title for ""Ying hung ho hon"" AKA ""Tragic Hero"" (1987). I have just seen this on VHS, together with the first part of the story, ""Gong woo ching"" (""Rich and Famous""), also 1987. (The poster and 2 stills featured on the page are for a 4-DVD set of movies starring Rod Perry (The Black Gestapo), Fred Williamson (Black Cobra 2), Richard Lawson (Black Fist). The fourth movie is called ""The Black Six""). Strangely, while the characters retain their original names in ""Rich and Famous"", in ""Black Vengeance"" Chow Yun-Fat's character is named Eddie Shaw, Alex Man (Man Tze Leung) is Harry, and Andy Lau is called Johnny. Also confusing is the fact that 1994 is given as the copyright dates on both films. Perhaps that was the year they were American-dubbed. According to the release dates given on IMDb ""Tragic Hero"" was released before ""Rich and Famous"". Was there any reason for releasing the sequel first? Despite some users' comments, I enjoyed these films, although they aren't among CYF's best such as ""The Killer"" and ""Hard-Boiled"" which are truly astonishing. However,if one day I come across a 2-DVD set of ""Rich and Famous"" and ""Tragic Hero"" I won't hesitate to buy it. Hopefully, these comments about ""Black Vengeance"" clear up, which was also for me, a mystery as to where it belonged in Chow Yun-Fat's filmography.",negative
40146,"A horror movie is being shot and things aren't going well. It's about a masked killer. The director tells off the killer in front of the cast and crew. He goes crazy and kills two people. He's killed himself and the film is never finished. Twelve years later a bunch of film students decide to try and finish it--but there's a curse. People who try and finish it are killed themselves. The students ignore that. Guess what happens next?<br /><br />The plot is old hat but this isn't bad...for what it is (a low budget slasher film). It's well-made with a young and fairly talented young cast. No one is great but no one is terrible either. It also avoids the obligatory (and needless) female nude scenes. It moves quickly, the gore is nice and bloody and the script doesn't insult your intelligence. Also Molly Ringwald is in this having the time of her life playing a bitchy faded actress.<br /><br />No great shakes but not bad at all. I give it a 7.",positive
40148,"There are moments in the film that are so dreadful, your teeth ache. But knowing that there were only weeks left before the Code made movies innocuous and bland, Paramount rushed this into production before innuendo and leering went out of style. Vanities is so horrifically anti-female that it's delicious. As Kitty Carlisle sings, women are displayed with price tags that would insult a Bronx hooker. They emerge from clams (nudge,nudge;wink,wink) in postures of absolute submission. Minions of the law, so stupid they cannot find the door, get to look up their skirts and snicker. Bare-breasted chorus girls sit uncomfortably in giant cacti (Could they be a source of hallucinogens, perhaps?) while we listen to ""Sweet Marijuana"" and watch as blood falls on a chorines's breast.<br /><br />Sure, Carl Brisson learned his lines phonetically and doesn't seem to have a clue what he is saying. But it's all worth it as Norma steals the show while no one is looking.<br /><br />Taking one moment of this fragile fluff seriously is missing the point of the whole exercise. Watch this with a charter member of NOW and prepare to justify the whole Hollywood machismo sch tick between body blows.<br /><br />Toby Wing, by the way, is the icing on the cake. And Duke Ellington doesn't hurt either.<br /><br />A must stroll down Memory Lane.",positive
40152,"To begin with, I really love Lucy. Her TV show still makes me laugh. She was one of the greatest comedians who ever lived, right up there with Chaplin and Keaton. But, her performance in this movie is disappointing. She was too old, and the gauze filters on the lens make her look like a London fog refugee. She couldn't sing, and her voice was so froggy that she croaked through every song. Her dancing days were long in the past. Just because you are a Lucy fan, don't gloss over this mistaken, sad performance and sing it's praises. I prefer to remember Lucy in her wonderful TV series(I Love Lucy) and to draw the curtain of charity over the terrible mess of a movie called ""Mame"".",negative
40157,"I used to love the Muppets. The Muppet Movie, The Great Muppet Caper and The Muppets Take Manhattan were good family movies, cleverly written and fun to watch. I never thought I would see the day when they would jump on the Hollywood sleaze bandwagon, but here it is: Scooter as a caged rave dancer, Pepe making lewd and suggestive comments every five minutes -- this is not your father's Muppets. It's not Jim Henson's Muppets anymore, either.<br /><br />This ""It's A Wonderful Life"" themed movie has its moments, but not enough to save it. I cringed while watching this with my children. I still have hope for their next movie, but this one was certainly a disappointment.",negative
40194,"I can't believe I am just now seeing this film -- I think perhaps I thought it was another movie about slaves being mistreated, and I avoided Roots for the same reason -- just as I have yet to see Schindler's List -- I don't want to be ""entertained"" by other peoples' pain, not matter how authentic or informative it is supposed to be.<br /><br />So I guess the main thing I noticed about The Color Purple was that it was not about black people being mistreated by whites. The black people were perfectly capable of raping their own daughters -- or giving them away to be treated as slaves by their ""husbands"". It was painful to watch, but everyone redeemed himself in the end, and the acting was phenomenal! I couldn't believe the character Oprah played at the age of 35! And I adore Whoopi to start with - she was amazing. I'm so glad I was feeling lousy yesterday afternoon and Showtime was running The Color Purple.",positive
40216,"Was this based on a comic-book? A video-game? A drawing by a 3 year-old? <br /><br />There is nothing in this movie to be taken seriously at all; not the characters, not the dialog, not the plot, not the action. Nothing. We have high-tech international terrorists/criminals who bicker like pre-school kids, Stallone's man-of-steel-type resilience towards ice-cold weather, dialog so dumb that it's sometimes almost hilarious, and so on. Even the codename that the bad guys use is dumb (""tango-tango""). A film that entertains through some suspense, good action-sequences, and a nice snowy mountainous setting. Oh, yes: and the unintentional humour.<br /><br />The film opens with some truly bad and unconvincing gay banter between our go-lucky and happy characters who are obviously having a ""swell"" time. Then comes a sweat-inducing failed-rescue part, which should make anyone with fear-of-heights problems want to pull their hair out. And then we have some more bad dialog, and after that some more great action. This is the rhythm of the film in a nutshell. <br /><br />Stallone's melodramatic exchange with Turner, when they meet after a long time, is so soapy, so clichéd, so fake, and so bad that it should force a chuckle out of any self-respecting viewer. Soon after this display of awful dialog-writing, we are witnesses to a spectacular and excellently shot hijack of an airplane. The entire action is one big absurdity, but it's mindless fun at its best. Although the rest of the action is exciting and fun, the airplane scenes are truly the highlight of the film. After the landing, our master-criminals seek for a guide and end up with Stallone and Rooker. They send Stallone to fetch the first case of money, but somehow they do everything to make it as difficult as possible for him to reach it; they take most of his clothes off (so he can freeze) and they won't give him the equipment he needs (so he can fall off). DO THESE GANGSTERS WANT THEIR MONEY FETCHED OR NOT??? Very silly. Apparently they don't trust Stallone, but surely they know that they can always black-mail him by using Rooker as a hostage. Nevertheless, our gangsters make Stallone's climb difficult, if for no logical reasons then to at least show us how truly evil they are - lest there be any doubts. And for those who might still doubt how evil the bad guys are, they overact, brag, and snicker in a truly evil manner. Everyone convinced? Good. You'd better be. Otherwise the writers will throw in a mass execution of twenty school children, just to make sure that the evilness of the bad guys is crystal-clear to everyone.<br /><br />The old guy who flies the chopper... How the hell did he fall for the trap? Firstly, he must have been warned by the MTV airhead about the criminals, and secondly, he must have heard Stallone's and Rooker's voices on the walkie-talkies. A whole bunch of idiotic verbal exchanges take place, with Lithgow having the questionable honour of getting most of the silly lines. ""Get off my back!"" Lithgow: ""I haven't even started climbing on your back."" Or, Lithgow to Stallone: ""We had a deal, but now we only have each other!"" And as for Lithgow's gang of murderers: these guys never seem to want to kill immediately. They are very creative about it; they philosophize, pretend that they are playing football with your body, and so on. <br /><br />Stallone co-wrote this thing. I have no idea what drugs he was on when he did it. I'd hate to think the script is this bad because of a low I.Q.",positive
40233,"Ashley Judd, in an early role and I think her first starring role, shows her real-life rebellious nature in this slow-moving feminist soap opera. Wow, is this a vehicle for political correctness and extreme Liberalism or what?<br /><br />Being a staunch feminist in real life, she must have cherished this script. No wonder Left Wing critic Roger Ebert loved this movie; it's right up his political alley, too.<br /><br />Unlike the reviewers here, I am glad Judd elevated herself from this moronic fluff to better roles in movies that entertained, not preached the heavy-handed Liberal agenda.",negative
40236,"Watched this flick on Saturday afternoon cable. Man, did it drag. I got the metaphors, symbolism, and all that stuff. No, I didn't care one way or another about the sexuality of the characters. But, the pacing of the story and the scripting almost put me to sleep.<br /><br />That is..... until Ruth Marshall got naked. If you're a breast-man who is not homo-phobic, you may want to rent it. Ruth has a lesbian sex scene that's pretty hot, and then a hetero sex scene that is a notch higher than most standard movie fare. Her jiggly D-cups made the film worth the watch.<br /><br />--The Mighty Avatar",positive
40285,"I'll say one thing about this film: there are no lulls. You can't get bored watching this. The problem is that it is TOO intense. There is too much action and it NEEDS lulls! That is the risk you take in modern action films. You want it interesting but not overdone. This is way overdone.<br /><br />Even though the acting is fine and features a couple of ""names"" in Gary Busey and Roy Scheider, it still has the feel of a ""B"" film. The best part of it is Scheider's dialog: the only ""A"" part of this ""B"" film.<br /><br />The rest of the story is strictly Rambo mentality but did have a few standout scenes. One in particular was a very innovative scene featuring land mines. That was memorable. Not enough of the other scenes were to make this a keeper for long.",negative
40293,"I watched this movie when I was a young lad full of raging hormones and it was about as sexy a movie as I had ever seen-or ever was to see. It may not have been a great movie. My guess is it wasn't. I don't really remember much about it, to tell you the truth. I only remember the sexual chemistry between Crosby and Biehn. No woman in ANY movie has ever done it for me as the unbelievably sexy Cathy did in this movie. I haven't seen it since that first time I caught it on TV in the 70s and I don't think I'd want to see it again since I'm sure it would be a disappointment-my hormones aren't as raging and I've become more jaded over the years. Still, when I think back on the shower scene I can still remember how great it felt way back when.<br /><br />Added later: After watching the movie again, I discovered that it's dangerous to go home again. What was once erotic is now pretty tame. The older woman-younger man thing still works for me, just not as much as it once did, probably because I'm no longer a 12-year-old. That older woman is now younger than I am. Also, the amateurishness of the whole thing wasn't perceived by my twelve-year-old mind. <br /><br />Moral: Sometimes it's better not to revisit the past.",negative
40300,"I thought Anywhere But Here was a good movie.It stars two wonderful actresses, Susan Sarandon and Natlie Portman, which when I heard they were in a movie together I resist watching it.Overall, it was a pretty enjoyable movie.It had it's moments where I felt as if they tried to hard, and there was also some really overdone and worn-out material, but there wasn't anything in the movie that I absolutely hated.I even liked how they used the pop-up performance of the uncredited Thora Birch, and all the little happy/sad moments are touching and effective.If you want to watch this movie, go ahead, because even though I don't recommend it, it's not something you should avoid, and a 5.9 rating seems unfair in my opinion.",positive
40304,"Okay, first of all I got this movie as a Christmas present so it was FREE! FIRST - This movie was meant to be in stereoscopic 3D. It is for the most part, but whenever the main character is in her car the movie falls flat to 2D! What!!?!?! It's not that hard to film in a car!!! SECOND - The story isn't very good. There are a lot of things wrong with it.<br /><br />THIRD - Why are they showing all of the deaths in the beginning of the film! It made the movie suck whenever some was going to get killed!!! Watch it for a good laugh , but don't waste your time buying it. Just download it or something for cheap.",positive
40312,"This British-Spanish co-production is one of the countless films shot in Spain in the wake of the unexpected phenomenal success enjoyed by the Italian ""Spaghetti"" Westerns and, as is typical of such genre efforts, features an eclectic assortment of established and emerging international stars: Robert Shaw, Telly Savalas, Stella Stevens, Martin Landau, Fernando Rey, Michael Craig, Al Lettieri, Dudley Sutton, Antonio Mayans, etc. Ironically, however, this incoherent mess of a movie serves as a shining example as to why that most American of film genres became a dying breed in the 1970s and is nowadays practically (or is that officially?) extinct.<br /><br />I really wanted to like this film, not only because the Western is one of my favorite types of movies but also because it had all the qualities, including an intriguing premise, to be a good one - not to mention the fact that my father had purchased a paperback edition of A TOWN CALLED BASTARD's novelization following its original release! As it is, the film's sole virtue (if, indeed, it can even be called that) is its sheer eccentricity: for instance, Stevens, playing a widow out for revenge on the man who betrayed her revolutionary husband, sleeps inside a coffin(!) driven around in a carriage by her dumb manservant(?) Sutton; Savalas, as a blood-thirsty renegade, who at first appears to be the film's main villain, is unceremoniously dispatched by his own henchman Lettieri very early on in the picture; the villain of the piece, then, turns out to be Landau who, in the film's very first scene, is seen pillaging side-by-side our legendary hero-turned-priest Shaw!; Fernando Rey, playing a blind peasant, is the only one who can identify rebel Shaw who, in the end turns out to have been merely a front for...well, nevermind! As you can see, the plot is very confusing and it gets stranger from there! The production team responsible for this film were also behind other Western fare around the same period of time, like CUSTER OF THE WEST (1967), BAD MAN'S RIVER (1971), CAPTAIN APACHE (1971) and PANCHO VILLA (1972).",negative
40315,"I gave this movie a 2, and though I consider myself a science fiction fan, I found this movie very difficult to take seriously. It was on AMC one late night, and I'm glad I saw it for free. This movie is probably good for a few laughs, but not much more.<br /><br />The special effects are about average for the time period - not awful, but not great, either. Of course we know more about Mars now than we did back then, but we really can't hold that against this film. The main reason I did not like this movie is because of the story.<br /><br />There were several parts of this movie that I wish would have been explored in a little more detail - the astronaut's injury/condition, the city on Mars, the creature in the lake, etc. Overall, the movie is much like a lengthy episode of the 1960s version of The Outer Limits - complete with a cheesy ending.",negative
40329,"To make a film straddling the prequels and the ""real"" Star Wars trilogy would tax even a great film-maker....Mr Lucas is not that film-maker.<br /><br />To portray the fall of a good man into darkness needs a good actor...Mr Christensen is not that actor.<br /><br />The first 60-80 minutes are overwhelmingly boring with only a few pockets of yet more light sabre fights but there is a lack of edge because you already know which main characters survive to the original Star Wars.<br /><br />Count Dooku (Christopher Lee) has a very fleeting role here and about the best idea is to have Jar Jar Binks silent! <br /><br />No the film only picks up with the Chancellor turning on the Jedi and has one great (overlong) sequence at the lava falls",negative
40337,"Lina McLaidlaw is a bright, solitary young women who falls unexpectedly in love with Johnnie Aysgarth, a highly eligible bachelor with a penchant for losing money. They get married, but almost at once Lina is subjected to Johnnie's addiction to lying, gambling and getting into debt. Despite his flaws, she is unable to resist his charming manner, until she starts to suspect he may be harbouring murderous thoughts toward her ...<br /><br />This is a good movie, well-made, with an attractive cast, a good script and possibly the single lousiest ending in movie history. Okay, that's maybe going too far, but not by much. Lots of films change the ending of a book (Great Expectations, The Shining, etc) but the last two scenes of this one not only manage to be horribly lame, but also render the entire preceding plot completely meaningless. The story is about a woman whose husband is driven by his greed and moral lacking - and what she knows about him - to kill her. It should end (as it does in Francis Iles / Anthony Berkeley's book Before The Fact) with him attempting to murder her. The reason it doesn't is that the studio forced Hitch to reshoot the ending, one of the first examples of the godawful process of preview audience testing. Hitch was canny and did what he was told (this was only his third film in Hollywood) knowing that if he played the game, sooner or later he would gain creative control of his films, evinced by his masterpieces of the fifties. But that still leaves us with a turkey of an ending. This is a great shame because it really is a very good movie with an intriguing theme - does anyone really know their husband or wife that well ? The script is excellent, with many off-guard moments (such as when Lina's father dies and Johnnie assumes she's crying about it), a finely-judged performance by Grant (who never played a villain again) and fine photography throughout, culminating in the famous glass-of-milk shot. Fontaine won an Oscar for this performance, although personally I prefer her confusion and vulnerability in her earlier victimised wife role in Rebecca. I would like to rate this movie higher, but I really can't forgive that ending; this is what happens when movies are made for money, not love, which I guess is curiously the theme of the film itself. Look fast for Hitchcock's cameo as a man posting a letter.",negative
40341,"The movie was great and everything but, there were a lot of mistakes in the ""soccer"" scenes, i wonder if any of the guys who were working on the movie have ever seen a soccer match before..? first of all, i don't understand how she wanted to try for the boys team? in soccer boys and girls cant play in the same team and these are the FIFA rules. And don't get me started on who when they found out that she was actually a girl they let her continue to play...!! second of all, players cant paint their faces with colours and play like that, again FIFA rules not mine.<br /><br />and don't get me started on the way they scored goals its was ridiculous completely unrealistic. and all the players seemed like they didn't know Jack about soccer.<br /><br />and when duke was training Viola why did they only concentrate on shooting what happened to passing and dribbling. or was shooting her only problem?! and why the hell were all the posters on the wall in their room were for players from Chelse ?! don't they like any other players from any other teams.? it was like this was the only team they know...! but other than that the movie was good and i enjoyed the rest of it, just the training and the game scenes were unrealistic for me. they really should have consulted some one a bout them...!",positive
40347,"This must be one of the most horribly titled films of all time. The kind of title that ruins a film because it neither evokes the plot nor the characters. A title like this makes a film flop, even the French title is not much better. Too bad - Truffaut & Deneuve must have been enough to sell it..<br /><br />This is a long film, but largely worth it. Clearly influenced by Hitchcock, we have an intercontinental story about a personal ad bride, her rich husband, a theft, an identity switch, and obsessive love. The plot here is actually very good, and takes us on an unexpected trip.<br /><br />The thing that works both for and against the movie is the focus on the relationship. It is an interesting study in how these plot developments are played out in ""real life relationship"" with these two people. Unfortunately, this is what bogs the film down, and makes it ultimately dissatisfying. We do like films to have a real sense of finality, and that is missing here.<br /><br />It was the case in many of her films that Deneuve became a canvas for Directors to play their fantasies out on, and this time it doesn't work as well. Messy here, is the fact that the Director clearly just wanted to have Deneuve take her top off a few times. Deneuve is an actress who always seems very deliberate and thoughtful, so these attempts to make her seem spontaneous fall flat. <br /><br />Basically, the script needed to be worked out better before shooting began, to make this film tighter and shorter and to snap. But Truffaut didn't snap, did he? So - it wanders a bit, but remains interesting.",positive
40349,"Ah, McBain The character name is immortalized and forever ridiculed by ""The Simpsons"" but it will also always  to me personally, at least  remain the name and title of a tremendously entertaining and outrageously violent early 90's action flick; directed by the cool dude who brought us ""The Exterminator"" and starring two of the most ultimately badass B-movie heroes Christopher Walken and Michael Ironside (the latter with a cute little macho ponytail). I guess ""McBain"" will largely have to be labeled as a guilty pleasure, because there's no way I can convince anyone this is an intellectual motion picture. The film is unimaginably preposterous (most action heroes take on a small gangster posse  McBain takes on an entire country) and yet takes itself way too seriously. The script is a non-stop and incoherent spitfire of clichéd situations, nonsensical twists, compulsory sentimental interludes, grotesquely staged action sequences and utterly implausible character drawings. It's a totally delirious movie; I loved it. <br /><br />Vietnam POW McBain's life is saved by fellow soldier Roberto Santos on the very last day of the war. They each keep half a dollar note as a symbol that McBain is in Santos' debt. Eighteen years later, Santos is a spirited rebel leading the revolution against the corrupt president of his home country Columbia. Santos initial attempt to take over the power fails and he's publicly executed on El Presidente's balcony. His sister travels to New York with the dollar note and turns to McBain for financial assistance and manpower. McBain and his former Vietnam buddies, who all coincidentally happen to be fed up with the injustice in this world, charter themselves a miserable little plane and fly to Columbia to open a gigantic can of whoop-ass. <br /><br />Okay, let's not fool each other here. The fact you're reading a user- comment on ""McBain"" already indicates that you have some sort of interest for low-budget B-movie action. One of my fellow reviewers spent quite some time composing a list containing all the main stupidities and insensible moments of ""McBain"". This list is totally accurate and I can only concur with it. Heck, I could even add some more senseless sequences to that list (like the preposterous and needless heroic self- sacrifice of a soldier who doesn't even have any affinity with the goal of the mission and the rest of McBain's squad), but what's the point? You definitely know not to expect a 100% coherent and plausible masterpiece. We know from beforehand this will be a silly and exaggeratedly flamboyant movie, and it's maybe even the exact reason why we want to check it out! This is a terrifically outrageous and exciting movie about a bunch of former Vietnam buddies turning into mercenaries and declaring war against the corrupt Columbian president and the national drug cartel. Please don't expect another ""Apocalypse Now"". This particular motion picture relies on the ruff 'n tuff acting performances of the macho leads, a whole lot of explosions and gunfights and  last but not least  a fantastic soundtrack in which Joan Baez sings a cover of ""Brothers in Arms"".",positive
40366,"It was extremely low budget(it some scenes it looks like they recorded with a home video recorder). However it does have a good plot line, and its easy to follow. 8 years after shooting her sexually abusive step father Amanda is released from the psychiatric ward, with the help of her doctor who she is secretly having an affair with. The doctor ends up renting her a house and buying her a car. But within the first 20 minutes of the movie Amanda kills him and buries him in her backyard. Then she see's her neighbor Richard sets eyes on him and stops at nothing until she has him. She acts innocent but after another neighbor Buzz finds out that Amanda killed that doctor and attempted to kill Richards wife Laurie (this is after Amanda and him get it on in the hot tub). Then she stops acting so Innocent and kills Buzz and later on attempts to kill Richard whom she supposedly loves and cares for. And you'll have to rent the movie to find out if Amanda dies or not. Overall good movie, reminds me a lot of my life you know the whole falling for the neighbor and stopping at nothing until you have him part.",positive
40368,"Opera (the U.S. title is terror at the opera) is somewhat of a letdown after some of Dario's other movies like Phenomena, Tenebre, and Suspiria. (i still can't find Inferno anywhere.) it's one of those movies that has a great first half but midway through it's like someone started slowly letting the air out of the screenplay and logic.<br /><br />the basic plot involves a beautiful opera singer who is being stalked by a deranged obsessed fan. this killer begins killing people close to her in a most unique fashion. he binds and gags her and tape tiny sharp pins under her eyelids so if she tries to close her eyes she'll gouge out her eyes. this forces her to watch while the killer murders her acquaintances in typically brutal and gory Argento fashion.<br /><br />unfortunately, about midway through the film becomes sluggish and illogical. (this is especially directed towards the killer's motivations. i still haven't completely figured out why he's such a nut.) the ending especially come out of left field in the worst possible sense.<br /><br />but, for about the first hour or so this is some of Dario's best filmmaking and the camera work is breathtaking. too bad it couldn't maintain it through to the end.<br /><br />rating:7",positive
